model,case,PSNR,SSIM,LPIPS,DISTS,MUSIQ,MANIQA,CLIPIQA,runtime_sec,peak_vram_gb
DiffIR,average,27.792214368381014,0.7752705228781267,0.2047111749649048,0.17904798984527587,,,,55.0527558401227,20.613948631286622
DiffIROfficial,average,27.792214368381014,0.7752705228781267,0.2047111749649048,0.17904798984527587,,,,50.11162949986756,20.613948631286622
HYPIR,average,28.257533339906153,0.7769352366040633,0.18081603422760964,0.16075401306152343,,,,,
Identity,average,28.03442004401453,0.7776988190032905,0.23129445910453797,0.1797712564468384,,,,0.0,
