case,method,weight,region,pixels,mean_weight,change_L1,error_to_GT_L1
case3,texture_weight_1.00_h200,1.00,textured_non_edge,279395,1.000000,4.115929,4.856893
case3,texture_weight_1.00_h200,1.00,other,9786934,0.097569,0.368092,1.537832
case4,LQ,,strong_edge,2516583,,0.000000,35.340649
case4,LQ,,blurred_texture,54,,0.000000,30.672836
case4,LQ,,textured_non_edge,394737,,0.000000,24.136026
case4,LQ,,other,9671538,,0.000000,21.123352
case4,HYPIR-200,,strong_edge,2516583,,27.503132,41.003159
case4,HYPIR-200,,blurred_texture,54,,24.592590,33.944443
case4,HYPIR-200,,textured_non_edge,394737,,10.433134,25.249979
case4,HYPIR-200,,other,9671538,,10.104365,23.036854
case4,texture_selective_h200,,strong_edge,2516583,0.236601,6.395228,34.998287
case4,texture_selective_h200,,blurred_texture,54,0.237755,5.828787,29.345644
case4,texture_selective_h200,,textured_non_edge,394737,0.257520,2.630588,23.947495
case4,texture_selective_h200,,other,9671538,0.148741,1.677742,21.078594
case4,texture_weight_0.25_h200,0.25,strong_edge,2516583,0.236601,6.395228,34.998287
case4,texture_weight_0.25_h200,0.25,blurred_texture,54,0.250000,6.148148,29.299381
case4,texture_weight_0.25_h200,0.25,textured_non_edge,394737,0.250000,2.608284,23.946901
case4,texture_weight_0.25_h200,0.25,other,9671538,0.148741,1.677742,21.078594
case4,texture_weight_0.40_h200,0.40,strong_edge,2516583,0.236601,6.395228,34.998287
case4,texture_weight_0.40_h200,0.40,blurred_texture,54,0.400000,9.837037,29.248148
case4,texture_weight_0.40_h200,0.40,textured_non_edge,394737,0.400000,4.173253,24.002291
case4,texture_weight_0.40_h200,0.40,other,9671538,0.148741,1.677742,21.078594
case4,texture_weight_0.55_h200,0.55,strong_edge,2516583,0.236601,6.395228,34.998287
case4,texture_weight_0.55_h200,0.55,blurred_texture,54,0.550000,13.525926,29.699999
case4,texture_weight_0.55_h200,0.55,textured_non_edge,394737,0.550000,5.738224,24.168922
case4,texture_weight_0.55_h200,0.55,other,9671538,0.148741,1.677742,21.078594
case4,texture_weight_0.70_h200,0.70,strong_edge,2516583,0.236601,6.395228,34.998287
case4,texture_weight_0.70_h200,0.70,blurred_texture,54,0.700000,17.214815,30.616053
case4,texture_weight_0.70_h200,0.70,textured_non_edge,394737,0.700000,7.303194,24.437271
case4,texture_weight_0.70_h200,0.70,other,9671538,0.148741,1.677742,21.078594
case4,texture_weight_0.85_h200,0.85,strong_edge,2516583,0.236601,6.395228,34.998287
case4,texture_weight_0.85_h200,0.85,blurred_texture,54,0.850000,20.903704,32.022221
case4,texture_weight_0.85_h200,0.85,textured_non_edge,394737,0.850000,8.868164,24.799950
case4,texture_weight_0.85_h200,0.85,other,9671538,0.148741,1.677742,21.078594
case4,texture_weight_1.00_h200,1.00,strong_edge,2516583,0.236601,6.395228,34.998287
case4,texture_weight_1.00_h200,1.00,blurred_texture,54,1.000000,24.592590,33.944443
case4,texture_weight_1.00_h200,1.00,textured_non_edge,394737,1.000000,10.433134,25.249979
case4,texture_weight_1.00_h200,1.00,other,9671538,0.148741,1.677742,21.078594
case5,LQ,,strong_edge,2516583,,0.000000,17.700729
case5,LQ,,textured_non_edge,323862,,0.000000,7.156791
case5,LQ,,other,9742467,,0.000000,4.508435
case5,HYPIR-200,,strong_edge,2516583,,26.690998,21.127918
case5,HYPIR-200,,textured_non_edge,323862,,6.084229,7.231469
case5,HYPIR-200,,other,9742467,,4.085247,5.282000
