Case,LQ PSNR (dB),Output PSNR (dB),Delta PSNR (dB),PSNR Conclusion,LQ SSIM,Output SSIM,Delta SSIM,SSIM Conclusion,LQ LPIPS-Alex,Output LPIPS-Alex,Delta LPIPS,LPIPS Conclusion,LQ Path,GT Path,Output Path
case1,32.028801,29.335323,-2.693478,Degraded,0.948453,0.846634,-0.101820,Degraded,0.072517,0.452658,0.380142,Degraded,D:\MyProjects\CSIG\baseline\input\case1_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case1_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case1_lq.png
case2,28.189381,24.213958,-3.975424,Degraded,0.831443,0.731045,-0.100398,Degraded,0.373972,0.374753,0.000781,Degraded,D:\MyProjects\CSIG\baseline\input\case2_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case2_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case2_lq.png
case3,35.622082,28.865398,-6.756683,Degraded,0.934958,0.812097,-0.122862,Degraded,0.170643,0.405851,0.235208,Degraded,D:\MyProjects\CSIG\baseline\input\case3_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case3_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case3_lq.png
case4,18.056199,16.352439,-1.703761,Degraded,0.309323,0.257605,-0.051718,Degraded,0.879949,0.626074,-0.253875,Improved,D:\MyProjects\CSIG\baseline\input\case4_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case4_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case4_lq.png
case5,26.275637,23.875816,-2.399821,Degraded,0.864316,0.777249,-0.087067,Degraded,0.285579,0.445688,0.160109,Degraded,D:\MyProjects\CSIG\baseline\input\case5_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case5_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_200\output\result\case5_lq.png
Average,28.034420,24.528587,-3.505833,Degraded,0.777699,0.684926,-0.092773,Degraded,0.356532,0.461005,0.104473,Degraded,.,.,.
