case,scene,alpha,method,PSNR,SSIM,LPIPS_Alex,Delta_PSNR_vs_LQ,Delta_SSIM_vs_LQ,Delta_LPIPS_vs_LQ,mean_struct,mean_conf,mean_final_conf,mean_final_conf2,suppressed_frac_struct,suppressed_frac_conf
case4,plant,0.0800,HYPIR-200,16.352439,0.257605,0.376841,-1.703761,-0.051718,-0.277482,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,texture_selective_h200,18.019865,0.306790,0.536617,-0.036334,-0.002533,-0.117707,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,fusion_A,18.063578,0.309831,0.640015,0.007379,0.000508,-0.014309,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,fusion_B,18.069606,0.309695,0.530085,0.013407,0.000372,-0.124239,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,fusion_A_conf05,18.062177,0.309733,0.645955,0.005978,0.000410,-0.008368,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,fusion_B_conf05,18.074007,0.309803,0.535117,0.017807,0.000481,-0.119207,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,fusion_A_conf,18.059597,0.309597,0.649263,0.003398,0.000274,-0.005060,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,fusion_B_conf,18.075693,0.309855,0.538096,0.019494,0.000532,-0.116227,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,fusion_A_conf2,18.057887,0.309476,0.652553,0.001688,0.000153,-0.001770,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case4,plant,0.0800,fusion_B_conf2,18.078242,0.309930,0.541107,0.022043,0.000608,-0.113217,0.480391,0.727967,0.364062,0.300513,0.063569,0.383015
case5,clock,0.3000,LQ,26.275637,0.864316,0.127053,0.000000,0.000000,0.000000,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,HYPIR-50,27.394758,0.883153,0.048376,1.119121,0.018837,-0.078677,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,HYPIR-200,23.875816,0.777249,0.071574,-2.399821,-0.087067,-0.055480,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,texture_selective_h200,27.355563,0.879620,0.083397,1.079927,0.015304,-0.043657,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,fusion_A,27.116744,0.875299,0.093797,0.841108,0.010983,-0.033256,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,fusion_B,27.335653,0.883949,0.046546,1.060017,0.019632,-0.080507,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,fusion_A_conf05,26.739790,0.872284,0.108399,0.464154,0.007968,-0.018654,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,fusion_B_conf05,27.434403,0.884763,0.046721,1.158766,0.020447,-0.080332,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,fusion_A_conf,26.575947,0.870463,0.114317,0.300310,0.006146,-0.012737,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,fusion_B_conf,27.446905,0.884945,0.047244,1.171268,0.020629,-0.079809,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,fusion_A_conf2,26.417810,0.868099,0.119811,0.142173,0.003783,-0.007242,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
case5,clock,0.3000,fusion_B_conf2,27.447110,0.884978,0.047879,1.171474,0.020662,-0.079175,0.556084,0.810484,0.453140,0.397343,0.047936,0.216403
Average,,,LQ,28.034420,0.777699,0.204318,0.000000,0.000000,0.000000,,,,,,
Average,,,HYPIR-50,28.257533,0.776935,0.162039,0.223113,-0.000764,-0.042279,,,,,,
Average,,,HYPIR-200,24.528587,0.684926,0.159664,-3.505833,-0.092773,-0.044654,,,,,,
Average,,,texture_selective_h200,28.480280,0.781421,0.164548,0.445860,0.003722,-0.039769,,,,,,
Average,,,fusion_A,28.460407,0.781670,0.188585,0.425987,0.003971,-0.015733,,,,,,
Average,,,fusion_B,28.256170,0.778593,0.156365,0.221750,0.000894,-0.047953,,,,,,
Average,,,fusion_A_conf05,28.281209,0.780505,0.195124,0.246789,0.002806,-0.009193,,,,,,
Average,,,fusion_B_conf05,28.350070,0.779430,0.157114,0.315650,0.001731,-0.047204,,,,,,
Average,,,fusion_A_conf,28.197553,0.779771,0.198140,0.163133,0.002072,-0.006177,,,,,,
Average,,,fusion_B_conf,28.365727,0.779709,0.157888,0.331307,0.002010,-0.046429,,,,,,
Average,,,fusion_A_conf2,28.109006,0.778809,0.201287,0.074586,0.001110,-0.003031,,,,,,
Average,,,fusion_B_conf2,28.368122,0.779899,0.158938,0.333702,0.002200,-0.045380,,,,,,
