case,x0,y0,x1,y1,width,height,lq_gt_l1,lq_gt_mse,lq_gt_psnr,lq_gt_ssim,lq_gt_gradient_difference,lq_gt_edge_density_difference,h200_gt_l1,h200_gt_mse,h200_gt_psnr,h200_gt_gradient_difference,h50_gt_l1,h50_gt_mse,h50_gt_psnr,h50_gt_gradient_difference,required_change_l1,required_change_gradient,generated_change_200_l1,generated_change_50_l1,generated_change_200_gradient,generated_change_50_gradient,improvement_200_l1,improvement_50_l1,improvement_200_mse,improvement_50_mse,change_alignment_200,change_alignment_50,local_variance,gradient_magnitude,edge_density,laplacian_magnitude,local_contrast,local_entropy,blur_proxy,primary_type,type_e_conservative,type_f_potential_ideal
case4,3328,1792,3584,2048,256,256,21.6641902923584,831.2604370117188,18.933432735907743,0.348877806980423,7.698897361755371,0.2978363037109375,21.3712100982666,863.2062377929688,18.76965778041669,7.257869720458984,21.397302627563477,817.5009155273438,19.005921212708156,7.623563289642334,21.6641902923584,7.698897361755371,6.916127681732178,2.6524555683135986,2.041243553161621,0.8852816820144653,0.2929801940917969,0.2668876647949219,-31.94580078125,13.759521484375,0.12342968331056463,0.1288534771475197,1203.6417236328125,1.8776206970214844,0.004241943359375,2.334320068359375,0.5357005596160889,4.011824926820503,1.2432323694229126,Other,True,False
case4,3200,1536,3456,1792,256,256,20.422561645507812,794.0693969726562,19.1322190479279,0.3634675657819193,7.4082536697387695,0.29150390625,20.87727928161621,913.0250854492188,18.525976750819645,7.363511085510254,20.270483016967773,793.2766723632812,19.136556747701366,7.28417444229126,20.422561645507812,7.4082536697387695,6.91547155380249,2.3853557109832764,2.757326364517212,0.8290618658065796,-0.45471763610839844,0.15207862854003906,-118.9556884765625,0.792724609375,0.03690762920720838,0.0667874562271257,824.1329956054688,1.4754719734191895,0.0010986328125,2.1527609825134277,0.5363552570343018,3.4966875259648846,1.459031105041504,Other,True,False
case4,3456,2048,3712,2304,256,256,28.960693359375,1373.8270263671875,16.751482762210408,0.23031847025341431,11.419511795043945,0.46453857421875,29.050537109375,1414.3323974609375,16.625288649488866,10.688838958740234,28.76155662536621,1358.3795166015625,16.80059243275645,11.308165550231934,28.960693359375,11.419511795043945,6.8961181640625,2.4396259784698486,1.8413872718811035,0.8316735625267029,-0.08984375,0.19913673400878906,-40.50537109375,15.447509765625,0.08292515944923805,0.10701324447922815,1062.16259765625,1.812530279159546,0.00042724609375,2.19537353515625,0.40888768434524536,3.898211149322483,1.2112196683883667,C_needs_restoration_unchanged,True,False
case4,1152,768,1408,1024,256,256,16.5600643157959,507.9298400878906,21.072766027223725,0.4304711272073864,6.123211860656738,0.2236785888671875,17.3140811920166,602.4239501953125,20.331781130219785,6.131910800933838,16.35306739807129,500.4142150878906,21.137507316514863,6.015969753265381,16.5600643157959,6.123211860656738,6.832967281341553,1.9924062490463257,2.7283897399902344,0.7243486642837524,-0.7540168762207031,0.20699691772460938,-94.49411010742188,7.515625,0.07329406510819673,0.12173150709759763,312.98480224609375,1.1472212076187134,0.0,1.487274169921875,0.39932167530059814,3.0565095370691164,1.2964134216308594,Other,True,False
case4,128,768,384,1024,256,256,20.953237533569336,699.8425903320312,19.680799857376748,0.3066488896950232,7.887437343597412,0.309783935546875,21.217370986938477,773.38330078125,19.246855276564645,7.201060771942139,20.71027183532715,687.8368530273438,19.755949489656768,7.6822614669799805,20.953237533569336,7.887437343597412,6.78948450088501,2.127436399459839,2.879537582397461,0.8189418315887451,-0.2641334533691406,0.2429656982421875,-73.54071044921875,12.0057373046875,0.07203765738475884,0.13171399821454022,341.759765625,1.4401969909667969,0.0046234130859375,1.7826539278030396,0.3897252082824707,3.007217921903453,1.2377840280532837,Other,True,False
case4,1152,128,1408,384,256,256,19.24947166442871,636.4800415039062,20.09295584986079,0.3345761525397361,7.612679481506348,0.291778564453125,19.65694236755371,701.5322875976562,19.670326717138234,6.934871673583984,19.080968856811523,626.0863647460938,20.164461046998863,7.473123550415039,19.24947166442871,7.612679481506348,6.759012699127197,1.9421743154525757,2.254683494567871,0.6699342727661133,-0.407470703125,0.1685028076171875,-65.05224609375,10.3936767578125,0.08422729162672657,0.12972399070174503,299.61328125,1.1124827861785889,0.0,1.4475913047790527,0.3651847541332245,2.9906816421692617,1.301224708557129,Other,True,False
case4,640,256,896,512,256,256,16.371118545532227,489.4084167480469,21.234089313917757,0.4297902355956984,5.581106662750244,0.2002716064453125,17.019012451171875,589.011962890625,20.429562079253994,5.636144161224365,16.10634422302246,480.0726013183594,21.31773431023864,5.4206366539001465,16.371118545532227,5.581106662750244,6.7057952880859375,1.8077545166015625,2.8444840908050537,0.6249498724937439,-0.6478939056396484,0.2647743225097656,-99.60354614257812,9.3358154296875,0.08267507585649628,0.1404080277569215,203.88922119140625,0.8608989715576172,0.0,1.2412617206573486,0.32951563596725464,2.796187731914346,1.4418187141418457,Other,True,False
case4,2944,1280,3200,1536,256,256,20.58046531677246,804.3157348632812,19.076537465262774,0.36847838178893944,7.528592109680176,0.2870635986328125,20.230880737304688,897.39013671875,18.60099101006987,7.1836838722229,20.147226333618164,793.802734375,19.13367753604024,7.374508380889893,20.58046531677246,7.528592109680176,6.6549224853515625,2.3380839824676514,2.1227874755859375,0.7542203664779663,0.34958457946777344,0.4332389831542969,-93.07440185546875,10.51300048828125,0.06741277004256192,0.1147107298007981,503.3988037109375,1.420224666595459,0.000335693359375,1.7496236562728882,0.4856169819831848,3.0901219652341094,1.23193359375,Other,True,False
case4,768,384,1024,640,256,256,18.37532615661621,616.0082397460938,20.23493839527628,0.3785000766853018,6.363376617431641,0.2357940673828125,18.389760971069336,693.8037109375,19.718437679217207,5.9601922035217285,18.041458129882812,608.4462890625,20.28858103307455,6.235055446624756,18.37532615661621,6.363376617431641,6.646871089935303,2.0390472412109375,2.2504172325134277,0.6898635625839233,-0.014434814453125,0.33386802673339844,-77.79547119140625,7.56195068359375,0.06690689713747354,0.11127499939563318,335.554443359375,1.1009572744369507,0.0002593994140625,1.4900107383728027,0.4336126744747162,2.9050521327558307,1.3533762693405151,Other,True,False
case4,3072,2304,3328,2560,256,256,17.3154239654541,551.1137084960938,20.718391750502132,0.4025244559502066,6.788708209991455,0.261871337890625,18.050954818725586,652.5281372070312,19.98481124317204,6.613637924194336,17.13330078125,546.9633178710938,20.751221756984553,6.637538909912109,17.3154239654541,6.788708209991455,6.610753536224365,1.8901621103286743,2.719776153564453,0.6728377938270569,-0.7355308532714844,0.18212318420410156,-101.4144287109375,4.150390625,0.04300328654362437,0.09003284539062022,273.2372131347656,0.9774036407470703,0.0,1.3055522441864014,0.3716854155063629,2.8530897405974347,1.3357336521148682,Other,True,False
case4,2176,1536,2432,1792,256,256,18.808496475219727,619.7198486328125,20.208849583041726,0.39156024052633737,7.282495975494385,0.264678955078125,19.51344871520996,729.2947387695312,19.501772742947637,6.968504905700684,18.615921020507812,616.69580078125,20.23009358893507,7.145547866821289,18.808496475219727,7.282495975494385,6.569859981536865,1.8546549081802368,2.058666944503784,0.6259949803352356,-0.7049522399902344,0.19257545471191406,-109.57489013671875,3.0240478515625,0.011997489348434778,0.07568149368203624,263.43951416015625,0.9944393634796143,0.0,1.3275350332260132,0.3527422249317169,2.856944713927992,1.3349568843841553,Other,True,False
case4,1408,768,1664,1024,256,256,16.891992568969727,571.1145629882812,20.56357107043165,0.405777965972918,5.905367851257324,0.2151641845703125,16.98602867126465,637.5523071289062,20.085645149355255,5.585370063781738,16.526046752929688,559.8563842773438,20.650037297983697,5.7924113273620605,16.891992568969727,5.905367851257324,6.552256107330322,2.04693603515625,1.9357935190200806,0.6606497764587402,-0.09403610229492188,0.36594581604003906,-66.437744140625,11.2581787109375,0.10141403338028132,0.14077136068449236,445.649169921875,1.1533312797546387,0.00048828125,1.462646484375,0.5736063122749329,2.987580965997224,1.2681918144226074,Other,True,False
case4,2688,1280,2944,1536,256,256,20.735647201538086,752.7111206054688,19.364520284899232,0.3440027038548856,7.815858840942383,0.29766845703125,20.636770248413086,816.34375,19.012072941776303,7.292374134063721,20.317617416381836,738.3984375,19.44789603811063,7.645768642425537,20.735647201538086,7.815858840942383,6.552225589752197,2.2191669940948486,2.6479997634887695,0.8001496195793152,0.098876953125,0.41802978515625,-63.63262939453125,14.31268310546875,0.10936606391242672,0.13793518543759944,527.6268310546875,1.2758605480194092,0.0035552978515625,1.858612060546875,0.47605371475219727,3.1363780712425706,1.4567506313323975,Other,True,False
case4,896,2816,1152,3072,256,256,13.598231315612793,346.1986999511719,22.737549473340962,0.5033570068257002,4.725691318511963,0.1627349853515625,14.45916748046875,538.7970581054688,20.81655112310774,5.338047504425049,13.334752082824707,345.6125793457031,22.744908132593835,4.611840724945068,13.598231315612793,4.725691318511963,6.5485992431640625,1.720947265625,2.8923115730285645,0.6111631393432617,-0.860936164855957,0.26347923278808594,-192.59835815429688,0.58612060546875,0.004604696787199225,0.07579813389410413,113.42684173583984,0.6978076696395874,0.0,1.0444743633270264,0.3060765862464905,2.2170103654326763,1.4967918395996094,Other,True,False
case4,2816,1664,3072,1920,256,256,27.811248779296875,1286.3175048828125,17.037321913863174,0.24827527096198895,10.963066101074219,0.429290771484375,27.515966415405273,1314.4298095703125,16.94342942605515,10.080056190490723,27.439111709594727,1265.7271728515625,17.107402344691657,10.778804779052734,27.811248779296875,10.963066101074219,6.535680294036865,2.545048952102661,2.0666985511779785,0.8662149310112,0.29528236389160156,0.37213706970214844,-28.1123046875,20.59033203125,0.09645551549090514,0.13025280127232558,712.03759765625,1.8316824436187744,0.0021820068359375,2.3105571269989014,0.38092583417892456,3.7216979328392985,1.2614390850067139,C_needs_restoration_unchanged,True,False
case4,2944,1664,3200,1920,256,256,26.235265731811523,1136.0946044921875,17.576659043921886,0.2692584406255054,9.989206314086914,0.393280029296875,25.85323143005371,1173.530029296875,17.43586164983754,9.153642654418945,25.812545776367188,1117.03564453125,17.650133430663708,9.809514999389648,26.235265731811523,9.989206314086914,6.4996185302734375,2.525146484375,2.0257463455200195,0.8360514640808105,0.3820343017578125,0.42271995544433594,-37.4354248046875,19.0589599609375,0.08659034521237631,0.1324050518190097,605.7115478515625,1.739571213722229,0.0006103515625,2.133270263671875,0.3945521414279938,3.603040809753816,1.2263189554214478,Other,True,False
