a,b,PSNR,L1
231,17,39.63716218769867,1.0631554126739502
231,89,39.50198245658652,1.0837563276290894
231,401,39.653635869464026,1.0717577934265137
17,89,39.56923317200045,1.0680928230285645
17,401,39.823666940227255,1.0554993152618408
89,401,39.92477065868998,1.0520648956298828
