method,PSNR,SSIM,L1_vs_LQ,L1_vs_231
LQ,18.056199318367533,0.30932260715082277,0.0,13.594494819641113
H50,18.084599414285577,0.3103796623029394,2.9848690032958984,11.817800521850586
231,16.352438762978853,0.2576045334391771,13.594494819641113,0.0
17,16.351419446480456,0.25758576517574533,13.598209381103516,1.0631554126739502
89,16.353099097566382,0.2576285370481715,13.591062545776367,1.0837563276290894
401,16.35136268428307,0.2575471706198722,13.598638534545898,1.0717577934265137
mean,16.359398334554992,0.2579466115718558,13.565571784973145,0.6557918787002563
median,16.356593893509242,0.25784835735764505,13.57606315612793,0.6376283168792725
