case,method,region,pixels,mean_weight,change_L1,error_to_GT_L1,gradient_change
case3,texture_selective_h200,strong_edge,2516583,0.219239,2.505247,5.159351,6.321815
case3,texture_selective_h200,textured_non_edge,279395,0.223894,0.887729,2.821497,2.449168
case3,texture_selective_h200,other,9786934,0.097569,0.368092,1.537832,1.775957
case3,blurred_texture_h50,strong_edge,2516583,0.130214,0.435918,4.991337,1.204221
case3,blurred_texture_h50,textured_non_edge,279395,0.183989,0.291745,2.730932,1.076972
case3,blurred_texture_h50,other,9786934,0.093416,0.121988,1.477360,1.368568
case3,blurred_texture_h200,strong_edge,2516583,0.130214,1.345674,5.019590,3.318310
case3,blurred_texture_h200,textured_non_edge,279395,0.183989,0.721926,2.783750,2.019095
case3,blurred_texture_h200,other,9786934,0.093416,0.342553,1.531589,1.707419
case4,LQ,strong_edge,2516583,,0.000000,35.340649,0.000000
case4,LQ,blurred_texture,54,,0.000000,30.672836,0.000000
case4,LQ,textured_non_edge,394737,,0.000000,24.136026,0.000000
case4,LQ,other,9671538,,0.000000,21.123352,0.000000
case4,HYPIR-50,strong_edge,2516583,,6.054087,34.732117,17.507940
case4,HYPIR-50,blurred_texture,54,,2.981482,29.493826,7.373771
case4,HYPIR-50,textured_non_edge,394737,,2.820464,24.272495,5.829588
case4,HYPIR-50,other,9671538,,2.192953,20.966440,5.519845
case4,HYPIR-200,strong_edge,2516583,,27.503132,41.003159,90.484169
case4,HYPIR-200,blurred_texture,54,,24.592590,33.944443,106.192444
case4,HYPIR-200,textured_non_edge,394737,,10.433134,25.249979,33.993362
case4,HYPIR-200,other,9671538,,10.104365,23.036854,38.505096
case4,confidence_200_LQ,strong_edge,2516583,,12.171752,35.648933,39.149906
case4,confidence_200_LQ,blurred_texture,54,,8.228395,29.358023,31.210123
case4,confidence_200_LQ,textured_non_edge,394737,,4.261686,24.049294,13.779265
case4,confidence_200_LQ,other,9671538,,2.707939,21.161818,9.820012
case4,structure_guard_h50,strong_edge,2516583,0.168559,0.945265,35.189529,2.972241
case4,structure_guard_h50,blurred_texture,54,0.230541,0.683341,30.356714,2.246481
case4,structure_guard_h50,textured_non_edge,394737,0.239707,0.671088,24.140516,1.718175
case4,structure_guard_h50,other,9671538,0.278768,0.586329,21.062403,1.816611
case4,structure_guard_h200,strong_edge,2516583,0.168559,4.372489,35.035339,13.618546
case4,structure_guard_h200,blurred_texture,54,0.230541,5.613247,29.344498,19.862110
case4,structure_guard_h200,textured_non_edge,394737,0.239707,2.447771,23.949829,7.477238
case4,structure_guard_h200,other,9671538,0.278768,2.654468,21.131067,9.356860
case4,texture_selective_h50,strong_edge,2516583,0.236601,1.422136,35.118450,4.422798
case4,texture_selective_h50,blurred_texture,54,0.237755,0.708631,30.342039,2.255962
case4,texture_selective_h50,textured_non_edge,394737,0.257520,0.724100,24.142038,1.840917
case4,texture_selective_h50,other,9671538,0.148741,0.355299,21.085474,1.448728
case4,texture_selective_h200,strong_edge,2516583,0.236601,6.395228,34.998287,20.153307
case4,texture_selective_h200,blurred_texture,54,0.237755,5.828787,29.345644,21.041723
case4,texture_selective_h200,textured_non_edge,394737,0.257520,2.630588,23.947495,8.166868
case4,texture_selective_h200,other,9671538,0.148741,1.677742,21.078594,5.933112
case4,blurred_texture_h50,strong_edge,2516583,0.119400,0.675060,35.229908,2.189638
case4,blurred_texture_h50,blurred_texture,54,0.198904,0.591479,30.398064,2.049326
case4,blurred_texture_h50,textured_non_edge,394737,0.171405,0.478706,24.135164,1.292198
case4,blurred_texture_h50,other,9671538,0.126710,0.290729,21.092081,1.290022
case4,blurred_texture_h200,strong_edge,2516583,0.119400,3.104552,35.066875,9.736123
case4,blurred_texture_h200,blurred_texture,54,0.198904,4.859732,29.461863,16.986252
case4,blurred_texture_h200,textured_non_edge,394737,0.171405,1.754548,23.967497,5.328845
case4,blurred_texture_h200,other,9671538,0.126710,1.354378,21.070240,4.762211
case5,LQ,strong_edge,2516583,,0.000000,17.700729,0.000000
case5,LQ,textured_non_edge,323862,,0.000000,7.156791,0.000000
case5,LQ,other,9742467,,0.000000,4.508435,0.000000
case5,HYPIR-50,strong_edge,2516583,,13.774226,14.423262,50.103664
case5,HYPIR-50,textured_non_edge,323862,,3.490166,6.845639,9.184138
case5,HYPIR-50,other,9742467,,1.899701,4.401040,5.611778
case5,HYPIR-200,strong_edge,2516583,,26.690998,21.127918,86.370209
case5,HYPIR-200,textured_non_edge,323862,,6.084229,7.231469,12.689672
case5,HYPIR-200,other,9742467,,4.085247,5.282000,13.290306
case5,confidence_200_LQ,strong_edge,2516583,,10.886676,14.753413,39.380123
case5,confidence_200_LQ,textured_non_edge,323862,,2.208791,6.574368,5.596724
case5,confidence_200_LQ,other,9742467,,0.713076,4.360129,2.547567
case5,structure_guard_h50,strong_edge,2516583,0.194986,2.395874,16.441282,8.594804
case5,structure_guard_h50,textured_non_edge,323862,0.275298,0.952380,6.903769,3.146510
case5,structure_guard_h50,other,9742467,0.306155,0.554821,4.401050,2.210144
case5,structure_guard_h200,strong_edge,2516583,0.194986,4.662941,15.752596,16.279858
case5,structure_guard_h200,textured_non_edge,323862,0.275298,1.656141,6.661103,4.203918
case5,structure_guard_h200,other,9742467,0.306155,1.195498,4.379022,4.168421
case5,texture_selective_h50,strong_edge,2516583,0.240315,3.263655,15.983711,12.083849
case5,texture_selective_h50,textured_non_edge,323862,0.254686,0.878291,6.921336,2.929753
case5,texture_selective_h50,other,9742467,0.096927,0.244263,4.441500,1.722591
case5,texture_selective_h200,strong_edge,2516583,0.240315,6.270488,15.163031,22.664520
case5,texture_selective_h200,textured_non_edge,323862,0.254686,1.520739,6.687310,3.935378
case5,texture_selective_h200,other,9742467,0.096927,0.513310,4.387697,2.460308
case5,blurred_texture_h50,strong_edge,2516583,0.127208,1.589814,16.829998,5.669630
case5,blurred_texture_h50,textured_non_edge,323862,0.183036,0.630395,6.978114,2.118686
case5,blurred_texture_h50,other,9742467,0.089031,0.211188,4.452474,1.608692
case5,blurred_texture_h200,strong_edge,2516583,0.127208,3.091327,16.262094,10.752874
case5,blurred_texture_h200,textured_non_edge,323862,0.183036,1.091787,6.787884,2.849932
case5,blurred_texture_h200,other,9742467,0.089031,0.445652,4.403975,2.232725
