Case,LQ PSNR (dB),Output PSNR (dB),Delta PSNR (dB),PSNR Conclusion,LQ SSIM,Output SSIM,Delta SSIM,SSIM Conclusion,LQ LPIPS-Alex,Output LPIPS-Alex,Delta LPIPS,LPIPS Conclusion,LQ Path,GT Path,Output Path
case1,32.028801,32.143319,0.114518,Improved,0.948453,0.945300,-0.003154,Degraded,0.072517,0.135358,0.062841,Degraded,D:\MyProjects\CSIG\baseline\input\case1_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case1_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case1_lq.png
case2,28.189381,28.976278,0.786896,Improved,0.831443,0.825432,-0.006012,Degraded,0.373972,0.331810,-0.042162,Improved,D:\MyProjects\CSIG\baseline\input\case2_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case2_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case2_lq.png
case3,35.622082,34.688713,-0.933369,Degraded,0.934958,0.920412,-0.014546,Degraded,0.170643,0.198108,0.027465,Degraded,D:\MyProjects\CSIG\baseline\input\case3_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case3_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case3_lq.png
case4,18.056199,18.084599,0.028400,Improved,0.309323,0.310380,0.001057,Improved,0.879949,0.785311,-0.094638,Improved,D:\MyProjects\CSIG\baseline\input\case4_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case4_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case4_lq.png
case5,26.275637,27.394758,1.119121,Improved,0.864316,0.883153,0.018837,Improved,0.285579,0.244238,-0.041341,Improved,D:\MyProjects\CSIG\baseline\input\case5_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case5_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_50\output\result\case5_lq.png
Average,28.034420,28.257533,0.223113,Improved,0.777699,0.776935,-0.000764,Degraded,0.356532,0.338965,-0.017567,Improved,.,.,.
