case,x0,y0,x1,y1,stratum,lq_gt_gradient_difference,psnr_lq,psnr_h50,psnr_h200,ssim_lq,ssim_h50,ssim_h200,lpips_lq,lpips_h50,lpips_h200
case3,3584,2304,3840,2560,high,1.524536,35.705585,34.434684,25.802175,0.928163,0.914229,0.738446,0.155929,0.157167,0.384490
case3,3840,2304,4096,2560,high,1.464661,36.804514,33.762178,24.594721,0.934110,0.909547,0.690326,0.145213,0.162910,0.455452
case3,0,2560,256,2816,high,3.573446,31.183984,30.873428,24.251162,0.802649,0.797952,0.664900,0.412254,0.326165,0.405538
case3,256,2560,512,2816,high,4.264404,29.585054,29.768798,25.821585,0.769518,0.770434,0.666151,0.387350,0.325329,0.332825
case3,512,2560,768,2816,high,2.975240,32.363423,32.275157,27.070544,0.837789,0.835962,0.731692,0.332349,0.271292,0.327372
case3,768,2560,1024,2816,high,3.441462,31.580553,31.034621,25.304342,0.822216,0.815764,0.693922,0.359127,0.291405,0.366149
case3,1024,2560,1280,2816,high,3.396281,30.978090,30.841596,25.544259,0.830105,0.826892,0.734390,0.324002,0.263807,0.330301
case3,1280,2560,1536,2816,high,3.664068,30.708733,30.771067,28.419221,0.831757,0.828435,0.782323,0.307637,0.260498,0.274752
case3,1536,2560,1792,2816,high,4.430257,29.553622,29.382058,23.996115,0.781058,0.773328,0.659994,0.350181,0.277060,0.313225
case3,1792,2560,2048,2816,high,5.012283,28.368553,27.923854,21.840079,0.781069,0.771088,0.625834,0.381231,0.300887,0.363719
case3,2048,2560,2304,2816,high,5.016673,28.053252,27.974068,23.325297,0.778236,0.774240,0.660586,0.393461,0.305030,0.323057
case3,2304,2560,2560,2816,high,4.785406,29.494931,29.312393,25.521519,0.756334,0.756171,0.673245,0.400946,0.335163,0.324174
case3,2560,2560,2816,2816,high,4.930308,29.056425,28.502309,23.647234,0.789971,0.782631,0.671841,0.404584,0.319805,0.373994
case3,2816,2560,3072,2816,high,2.278773,34.173675,32.481303,27.045283,0.893423,0.877137,0.793746,0.355727,0.305877,0.363180
case3,3072,2560,3328,2816,high,3.557790,30.216210,30.203603,27.828431,0.810899,0.806078,0.758947,0.406219,0.364235,0.327120
case3,3328,2560,3584,2816,high,4.022375,30.009072,29.633756,24.845679,0.769625,0.760962,0.649020,0.403973,0.342982,0.331590
case3,3584,2560,3840,2816,high,3.639359,30.436636,30.027371,23.879133,0.787031,0.776256,0.612356,0.407794,0.326946,0.378632
case3,3840,2560,4096,2816,high,2.446706,32.824491,32.074325,26.266568,0.867750,0.853388,0.718902,0.337184,0.281818,0.364911
case3,0,2816,256,3072,high,1.470464,36.909422,34.701031,25.586848,0.942602,0.914961,0.674838,0.174222,0.193313,0.529743
case3,256,2816,512,3072,high,1.393255,37.438471,36.373526,28.782384,0.934867,0.914325,0.718035,0.217852,0.201251,0.485468
case3,512,2816,768,3072,high,1.395091,36.842219,36.065510,29.289626,0.938218,0.925313,0.799787,0.172758,0.163844,0.358569
case3,768,2816,1024,3072,mid,1.339747,37.036460,34.938191,28.029822,0.944292,0.927150,0.791454,0.151706,0.182385,0.431578
case3,1024,2816,1280,3072,mid,1.225118,37.283260,36.261123,30.146069,0.949162,0.935528,0.845295,0.165817,0.165932,0.344818
case3,1280,2816,1536,3072,mid,0.746007,42.595453,41.089977,37.969835,0.982845,0.972446,0.944573,0.075189,0.113397,0.259345
case3,1536,2816,1792,3072,high,1.414485,35.825013,34.104013,25.939425,0.951355,0.937164,0.834377,0.113919,0.127703,0.356262
case3,1792,2816,2048,3072,high,1.715942,34.518552,33.021484,26.247452,0.924081,0.904392,0.818031,0.192438,0.213829,0.368239
case3,2048,2816,2304,3072,high,2.620804,30.850799,31.299998,27.130608,0.859516,0.858484,0.796748,0.294406,0.255199,0.333716
case3,2304,2816,2560,3072,mid,1.133377,39.052893,37.510791,33.267876,0.954684,0.939469,0.881870,0.142372,0.153958,0.303363
case3,2560,2816,2816,3072,high,1.677521,34.956577,34.716576,27.835983,0.906950,0.897728,0.784462,0.221751,0.192974,0.396208
case3,2816,2816,3072,3072,high,2.375758,32.200340,32.223020,28.328455,0.856807,0.855460,0.771130,0.271163,0.238016,0.354011
case3,3072,2816,3328,3072,high,2.183299,32.607609,32.327020,30.489775,0.883172,0.873527,0.838165,0.243206,0.237756,0.260778
case3,3328,2816,3584,3072,mid,1.113653,40.794486,39.647072,37.026333,0.961389,0.950063,0.916800,0.190428,0.210751,0.318923
case3,3584,2816,3840,3072,high,2.470881,32.403596,32.349647,28.240523,0.867416,0.857834,0.780557,0.318477,0.254917,0.290324
case3,3840,2816,4096,3072,high,3.307632,31.010613,30.766106,27.669714,0.812334,0.798400,0.718625,0.342309,0.311190,0.333750
case4,0,0,256,256,high,16.727732,16.845987,16.898101,16.728567,0.189322,0.190531,0.187205,0.809928,0.785699,0.660806
case4,256,0,512,256,high,14.092896,17.677182,17.699836,17.433842,0.273080,0.274124,0.264510,0.828004,0.793701,0.678758
case4,512,0,768,256,mid,11.251242,19.662983,19.713342,18.664520,0.339037,0.339473,0.311291,0.813555,0.739906,0.634765
case4,768,0,1024,256,mid,13.099614,18.438486,18.476379,16.803665,0.274774,0.274203,0.223164,0.824209,0.726902,0.594174
case4,1024,0,1280,256,high,15.932749,17.350842,17.379377,16.611009,0.189068,0.189252,0.173596,0.858255,0.776120,0.617064
case4,1280,0,1536,256,mid,12.657333,18.347084,18.415725,17.201919,0.272255,0.275241,0.224639,0.817323,0.773215,0.636162
case4,1536,0,1792,256,mid,11.704834,19.522811,19.540542,17.668520,0.301082,0.298071,0.215820,0.810093,0.762237,0.634315
case4,1792,0,2048,256,high,13.732834,17.920855,17.932855,16.601283,0.248273,0.246061,0.195873,0.832277,0.731219,0.550300
case4,2048,0,2304,256,mid,12.407629,18.269826,18.297653,16.974888,0.288726,0.287525,0.230129,0.810256,0.697525,0.483808
case4,2304,0,2560,256,high,14.968211,18.222525,18.250198,16.614502,0.218974,0.220301,0.168899,0.844448,0.743348,0.537249
case4,2560,0,2816,256,mid,12.734665,18.074280,18.080470,15.869797,0.274821,0.273783,0.199240,0.779769,0.674199,0.509901
case4,2816,0,3072,256,mid,11.100946,18.637130,18.686412,17.243500,0.307617,0.316457,0.297044,0.780217,0.699152,0.596353
