case,patch_id,stratum,x0,y0,x1,y1,lq_gt_gradient_difference,required_change_l1,generated_change_200_l1,improvement_200_l1,change_alignment_200,psnr_lq,psnr_h50,psnr_h200,lpips_lq,lpips_h50,lpips_h200,error_type,structure_preserved,new_object,plant_morphology,confidence,notes
case4,low01,low,256,512,512,768,5.228529930114746,14.236699104309082,4.17291259765625,-0.22517967224121094,0.05594108016585291,21.920923920707214,21.935251516642005,21.598416106345777,0.7468270063400269,0.7329701781272888,0.7067325115203857,,,,,,
case4,low02,low,512,512,768,768,5.989202499389648,17.372365951538086,5.266637325286865,-0.1301116943359375,0.0681109205894073,20.717521632285923,20.749086537754984,20.43488501680681,0.7604159116744995,0.7247259616851807,0.6205098032951355,,,,,,
case4,low03,low,1792,768,2048,1024,6.882540702819824,19.554101943969727,15.141438484191895,-3.136180877685547,0.029391520906034353,19.865470372712444,19.9096996051486,16.870159984176677,0.7639856934547424,0.7107669711112976,0.5954358577728271,,,,,,
case4,low04,low,2304,1024,2560,1280,6.308154582977295,19.974563598632812,13.748519897460938,-2.7849788665771484,0.06678928068464059,19.510443252053193,19.516822326580712,17.03195976322378,0.7587429285049438,0.6323238611221313,0.47337955236434937,,,,,,
case4,low05,low,3072,1280,3328,1536,7.311039924621582,20.367767333984375,7.853342533111572,-0.08936500549316406,0.0599224315305111,19.07871636480176,19.13279427717429,18.431721964942437,0.7628695368766785,0.700825572013855,0.5982158184051514,,,,,,
case4,low06,low,3072,2304,3328,2560,6.788708209991455,17.3154239654541,6.610753536224365,-0.7355308532714844,0.04300328654362437,20.718391750502132,20.751221756984553,19.98481124317204,0.7882048487663269,0.7410801649093628,0.5913340449333191,,,,,,
case4,low07,low,3840,2560,4096,2816,7.363348960876465,21.294143676757812,12.149581909179688,-2.7308902740478516,0.0727757409226924,18.983068413526805,19.080294234360707,17.559404261218926,0.7640835642814636,0.667007565498352,0.5438490509986877,,,,,,
case4,low08,low,512,2816,768,3072,6.118930339813232,15.077473640441895,7.073461055755615,-1.028752326965332,0.034216010819385786,21.94320484535571,21.98448131769151,20.85459552201769,0.7735424041748047,0.7219759821891785,0.5149145126342773,,,,,,
case4,mid01,mid,1280,0,1536,256,9.166620254516602,24.2542667388916,12.212885856628418,-1.6151885986328125,0.06026580642504952,18.34708386952617,18.415725249062284,17.201919265644033,0.8172831535339355,0.7731631994247437,0.6361382603645325,,,,,,
case4,mid02,mid,1536,0,1792,256,8.41934585571289,20.66493797302246,12.237950325012207,-3.2226810455322266,0.027287614976849037,19.52281050589175,19.54054174668476,17.668519960734667,0.8100454807281494,0.7622005343437195,0.6343017220497131,,,,,,
