Case,LQ PSNR (dB),Output PSNR (dB),Delta PSNR (dB),PSNR Conclusion,LQ SSIM,Output SSIM,Delta SSIM,SSIM Conclusion,LQ LPIPS-Alex,Output LPIPS-Alex,Delta LPIPS,LPIPS Conclusion,LQ Path,GT Path,Output Path
case1,32.028801,31.757209,-0.271592,Degraded,0.948453,0.933505,-0.014949,Degraded,0.072517,0.197313,0.124796,Degraded,D:\MyProjects\CSIG\baseline\input\case1_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case1_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case1_lq.png
case2,28.189381,27.929385,-0.259997,Degraded,0.831443,0.807759,-0.023684,Degraded,0.373972,0.335164,-0.038809,Improved,D:\MyProjects\CSIG\baseline\input\case2_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case2_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case2_lq.png
case3,35.622082,33.472287,-2.149795,Degraded,0.934958,0.904825,-0.030134,Degraded,0.170643,0.244225,0.073582,Degraded,D:\MyProjects\CSIG\baseline\input\case3_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case3_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case3_lq.png
case4,18.056199,17.939315,-0.116884,Degraded,0.309323,0.303874,-0.005448,Degraded,0.879949,0.730582,-0.149367,Improved,D:\MyProjects\CSIG\baseline\input\case4_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case4_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case4_lq.png
case5,26.275637,26.424327,0.148691,Improved,0.864316,0.862551,-0.001765,Degraded,0.285579,0.306303,0.020724,Degraded,D:\MyProjects\CSIG\baseline\input\case5_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case5_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_100\output\result\case5_lq.png
Average,28.034420,27.504504,-0.529916,Degraded,0.777699,0.762503,-0.015196,Degraded,0.356532,0.362717,0.006185,Degraded,.,.,.
