Case,LQ PSNR (dB),Output PSNR (dB),Delta PSNR (dB),PSNR Conclusion,LQ SSIM,Output SSIM,Delta SSIM,SSIM Conclusion,LQ LPIPS-Alex,Output LPIPS-Alex,Delta LPIPS,LPIPS Conclusion,LQ Path,GT Path,Output Path
case1,32.028801,32.000888,-0.027913,Degraded,0.948453,0.940501,-0.007953,Degraded,0.072517,0.164041,0.091524,Degraded,D:\MyProjects\CSIG\baseline\input\case1_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case1_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case1_lq.png
case2,28.189381,28.593125,0.403744,Improved,0.831443,0.818023,-0.013421,Degraded,0.373972,0.331343,-0.042629,Improved,D:\MyProjects\CSIG\baseline\input\case2_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case2_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case2_lq.png
case3,35.622082,34.166027,-1.456055,Degraded,0.934958,0.913928,-0.021031,Degraded,0.170643,0.218896,0.048253,Degraded,D:\MyProjects\CSIG\baseline\input\case3_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case3_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case3_lq.png
case4,18.056199,18.041648,-0.014552,Degraded,0.309323,0.308373,-0.000949,Degraded,0.879949,0.760573,-0.119375,Improved,D:\MyProjects\CSIG\baseline\input\case4_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case4_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case4_lq.png
case5,26.275637,26.988038,0.712402,Improved,0.864316,0.874579,0.010263,Improved,0.285579,0.275765,-0.009814,Improved,D:\MyProjects\CSIG\baseline\input\case5_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case5_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_75\output\result\case5_lq.png
Average,28.034420,27.957945,-0.076475,Degraded,0.777699,0.771081,-0.006618,Degraded,0.356532,0.350124,-0.006408,Improved,.,.,.
