case,x0,y0,x1,y1,width,height,lq_gt_l1,lq_gt_mse,lq_gt_psnr,lq_gt_ssim,lq_gt_gradient_difference,lq_gt_edge_density_difference,h200_gt_l1,h200_gt_mse,h200_gt_psnr,h200_gt_gradient_difference,h50_gt_l1,h50_gt_mse,h50_gt_psnr,h50_gt_gradient_difference,required_change_l1,required_change_gradient,generated_change_200_l1,generated_change_50_l1,generated_change_200_gradient,generated_change_50_gradient,improvement_200_l1,improvement_50_l1,improvement_200_mse,improvement_50_mse,change_alignment_200,change_alignment_50,local_variance,gradient_magnitude,edge_density,laplacian_magnitude,local_contrast,local_entropy,blur_proxy,primary_type,type_e_conservative,type_f_potential_ideal
case3,2176,1792,2432,2048,256,256,9.550755500793457,175.0810546875,25.698411941142663,0.4694470805206312,7.65226411819458,0.3315277099609375,11.272929191589355,235.74354553222656,24.406405405576525,6.3556365966796875,9.88481616973877,184.15673828125,25.478927705734492,7.529715538024902,9.550755500793457,7.65226411819458,5.82617712020874,2.150883913040161,3.2690927982330322,0.7933832406997681,-1.7221736907958984,-0.3340606689453125,-60.66249084472656,-9.07568359375,0.0321091930628728,-0.010609611159388603,903.1027221679688,1.6173818111419678,0.00067138671875,1.5761520862579346,0.19593101739883423,3.857918434728093,0.9745078086853027,Other,False,False
case3,2176,1664,2432,1920,256,256,9.659235954284668,178.1415557861328,25.623150951930654,0.4833093777747588,7.586401462554932,0.3421630859375,11.675908088684082,252.9609832763672,24.10026837609253,6.54335880279541,9.996953010559082,187.3876953125,25.40339302824211,7.478999137878418,9.659235954284668,7.586401462554932,6.484873294830322,2.2743937969207764,3.37392520904541,0.8417180776596069,-2.016672134399414,-0.33771705627441406,-74.81942749023438,-9.246139526367188,0.04861627104206103,0.0020717397963368753,434.58154296875,1.83719801902771,0.0009765625,1.6202092170715332,0.13976672291755676,3.38313558091984,0.8818910121917725,Other,False,False
case3,2048,1792,2304,2048,256,256,9.94151782989502,183.7888946533203,25.48761058982589,0.45582953047821956,7.788454532623291,0.3383636474609375,11.81427001953125,249.5603790283203,24.159046977556315,6.4922075271606445,10.194427490234375,193.1251678466797,25.272414980877585,7.677399635314941,9.94151782989502,7.788454532623291,6.772043704986572,2.3272705078125,3.4236013889312744,0.7911707758903503,-1.8727521896362305,-0.25290966033935547,-65.771484375,-9.336273193359375,0.07661756831231166,0.010438009044469128,439.9708557128906,1.6547253131866455,0.0015716552734375,1.5716862678527832,0.16928350925445557,3.370423914692801,0.9498164653778076,Other,False,False
case3,2048,1920,2304,2176,256,256,7.1605682373046875,104.48575592041016,27.940232823962305,0.5954291948077809,5.506952285766602,0.2000732421875,8.12743091583252,126.90023040771484,27.09617924130919,4.566030025482178,7.405965328216553,109.2264633178711,27.747524992723744,5.388218879699707,7.1605682373046875,5.506952285766602,4.2924652099609375,1.9002126455307007,2.404313087463379,0.6760004758834839,-0.966862678527832,-0.24539709091186523,-22.414474487304688,-4.7407073974609375,0.11106874258976772,0.03292693606869276,1137.5670166015625,1.3301970958709717,0.0039825439453125,1.4460655450820923,0.2843022644519806,4.044063853738608,1.087105393409729,Other,False,False
case3,2176,1920,2432,2176,256,256,6.7469329833984375,96.23236083984375,28.297592434801317,0.6189354839707157,5.229134559631348,0.1793365478515625,7.7144775390625,117.34140014648438,27.436290948479677,4.293736457824707,7.119359493255615,101.1948013305664,28.079221696681387,5.088281154632568,6.7469329833984375,5.229134559631348,4.034693241119385,1.91937255859375,2.2858095169067383,0.6907552480697632,-0.9675445556640625,-0.37242650985717773,-21.109039306640625,-4.962440490722656,0.11757566763306251,0.03744477251579769,1324.591796875,1.3595435619354248,0.01165771484375,1.463694453239441,0.22912199795246124,4.0206562587701775,1.0766065120697021,Other,False,False
case3,2048,1664,2304,1920,256,256,9.299494743347168,166.81353759765625,25.908490551288654,0.5074722215864745,7.053334712982178,0.2999725341796875,11.273651123046875,238.91943359375,24.34828865882438,6.044744491577148,9.583877563476562,176.31980895996094,25.667792793039585,6.935660362243652,9.299494743347168,7.053334712982178,6.6273040771484375,2.2175395488739014,3.0475032329559326,0.7749279737472534,-1.974156379699707,-0.28438282012939453,-72.10589599609375,-9.506271362304688,0.07973475182550738,0.007028250976895261,356.3985900878906,1.6652889251708984,0.0020751953125,1.5188398361206055,0.14785969257354736,3.258273508679425,0.9120573401451111,Other,False,False
case3,1920,1920,2176,2176,256,256,5.903894901275635,74.44713592529297,29.412323514762434,0.669031429142341,4.473755836486816,0.1425628662109375,6.77916955947876,92.05960845947266,28.49011201420472,3.8745903968811035,6.156092166900635,79.2036361694336,29.143352267975096,4.3691887855529785,5.903894901275635,4.473755836486816,3.4875285625457764,1.63592529296875,1.7906277179718018,0.6002063155174255,-0.875274658203125,-0.252197265625,-17.612472534179688,-4.756500244140625,0.0913981996716951,0.01263083221265895,691.37255859375,1.1556200981140137,0.0047149658203125,1.3164877891540527,0.28455686569213867,3.60960642996072,1.139203667640686,Other,False,False
case3,1920,1792,2176,2048,256,256,8.209187507629395,134.06021118164062,26.85780461676614,0.5541095327707148,6.140324592590332,0.2426300048828125,10.336970329284668,204.67694091796875,25.020114326509116,5.221931457519531,8.436442375183105,141.2086181640625,26.632191264433335,6.011541366577148,8.209187507629395,6.140324592590332,6.7006378173828125,2.12811279296875,2.9704129695892334,0.731533408164978,-2.1277828216552734,-0.22725486755371094,-70.61672973632812,-7.148406982421875,0.1045582097733072,0.0341364435369614,564.6939697265625,1.5002434253692627,0.0021209716796875,1.455139398574829,0.230366513133049,3.561137134981771,0.9699349403381348,Other,False,False
case3,2048,2048,2304,2304,256,256,5.366796016693115,66.2175521850586,29.921072217164586,0.7381702190945161,3.6069154739379883,0.0916595458984375,6.31768274307251,93.05072021484375,28.443605981991823,3.2502927780151367,5.6778717041015625,71.66803741455078,29.57754864535658,3.5032572746276855,5.366796016693115,3.6069154739379883,3.9619343280792236,1.8684896230697632,1.9485020637512207,0.7307413220405579,-0.9508867263793945,-0.31107568740844727,-26.833168029785156,-5.4504852294921875,0.1678833697902678,0.05130825909106647,1665.054931640625,1.525917649269104,0.0162353515625,1.4782817363739014,0.3263380527496338,4.235714829557299,0.9687815308570862,Other,False,False
case3,1920,2048,2176,2304,256,256,4.787496089935303,49.4154052734375,31.1921799934778,0.7586816716249075,3.274689197540283,0.08184814453125,5.7918548583984375,74.0969467163086,29.432800334157818,3.04133939743042,5.068624019622803,54.3232421875,30.78094678716953,3.176649808883667,4.787496089935303,3.274689197540283,3.590916872024536,1.7307637929916382,1.530149221420288,0.6482042074203491,-1.0043587684631348,-0.2811279296875,-24.681541442871094,-4.9078369140625,0.15097139388678432,0.06200723958139224,662.4253540039062,1.336893081665039,0.0101776123046875,1.3718568086624146,0.27384158968925476,3.6379498828331758,1.02615225315094,Other,False,False
case3,1920,1536,2176,1792,256,256,5.182164669036865,59.38089370727539,30.39433621945321,0.7230981334429858,3.8883087635040283,0.1058807373046875,6.228240966796875,85.68341064453125,28.801836155252147,3.1885781288146973,5.366363525390625,61.788970947265625,30.221693984684418,3.690596580505371,5.182164669036865,3.8883087635040283,4.0724334716796875,1.5007578134536743,1.8192832469940186,0.5582290291786194,-1.0460762977600098,-0.18419885635375977,-26.30251693725586,-2.4080772399902344,0.17612049070812583,0.0692527615314911,248.89739990234375,0.8638858199119568,0.0005645751953125,1.1572266817092896,0.14349335432052612,3.0037339224659405,1.3395582437515259,Other,False,False
case3,1792,1920,2048,2176,256,256,4.503448486328125,46.69732666015625,31.437883421856277,0.7696540597355045,3.214601516723633,0.0810546875,5.751078128814697,71.01615142822266,29.617232123932578,3.0444674491882324,4.796762943267822,50.95778274536133,31.05869827140024,3.093763828277588,4.503448486328125,3.214601516723633,3.4934794902801514,1.5384114980697632,1.6850861310958862,0.5814704895019531,-1.2476296424865723,-0.29331445693969727,-24.318824768066406,-4.260456085205078,0.07236473679014288,0.02701788666147257,687.6690063476562,0.941804826259613,0.0045318603515625,1.1515097618103027,0.34610432386398315,3.5317009019170564,1.2226614952087402,Other,False,False
case3,2048,1536,2304,1792,256,256,6.667749881744385,89.09712982177734,28.63216634587914,0.6106828539739922,5.411700248718262,0.191192626953125,8.828903198242188,156.05908203125,26.19791327036851,4.791934490203857,6.902928829193115,93.715576171875,28.41268557686996,5.197408676147461,6.667749881744385,5.411700248718262,5.721282958984375,1.7420755624771118,2.9969422817230225,0.6629159450531006,-2.1611533164978027,-0.23517894744873047,-66.96195220947266,-4.618446350097656,0.0658400269300341,0.028434776766448164,442.5152587890625,1.082514762878418,0.0007781982421875,1.2858786582946777,0.16208231449127197,3.3714013997244527,1.187861442565918,Other,False,False
case3,1920,1664,2176,1920,256,256,7.639699459075928,122.80703735351562,27.238571064713245,0.6041107893162102,5.611236572265625,0.2147064208984375,9.92963695526123,202.6847381591797,25.06259301734287,4.793680667877197,7.89014196395874,129.93280029296875,26.99361545464914,5.455139636993408,7.639699459075928,5.611236572265625,6.877044677734375,2.102839231491089,2.8345675468444824,0.7262530326843262,-2.2899374961853027,-0.2504425048828125,-79.87770080566406,-7.125762939453125,0.11750633453917199,0.04067890660005613,420.75103759765625,1.4695122241973877,0.00250244140625,1.3924460411071777,0.19394132494926453,3.3854799908008255,0.9475560188293457,Other,False,False
case3,2176,2048,2432,2304,256,256,4.617701053619385,60.47189712524414,30.315267582233105,0.7999527348111016,3.01408314704895,0.0763397216796875,5.74072265625,86.89205932617188,28.741002708219703,2.8127527236938477,5.0658416748046875,65.94530487060547,29.938964637425798,2.9509334564208984,4.617701053619385,3.01408314704895,3.933202028274536,1.9342752695083618,1.917921543121338,0.7424717545509338,-1.1230216026306152,-0.44814062118530273,-26.420162200927734,-5.473407745361328,0.20023436726267743,0.07001961495726786,1223.116943359375,1.5307756662368774,0.0240936279296875,1.4276529550552368,0.23045772314071655,3.6392751867620836,0.932633101940155,Other,False,False
case3,1920,1408,2176,1664,256,256,4.126245975494385,38.774044036865234,32.24539275900768,0.7923293040782603,2.9586493968963623,0.0583038330078125,5.040008544921875,52.338531494140625,30.942588277558407,2.511263370513916,4.407704830169678,41.903717041015625,31.90827812393197,2.820589542388916,4.126245975494385,2.9586493968963623,3.457026243209839,1.4516143798828125,1.4739315509796143,0.5516273975372314,-0.9137625694274902,-0.28145885467529297,-13.56448745727539,-3.1296730041503906,0.2087317914412909,0.04628306823780669,509.8626403808594,1.0199323892593384,0.0055389404296875,1.2063803672790527,0.19861739873886108,2.8151313767861437,1.1828031539916992,Other,False,False
