case,x0,y0,x1,y1,width,height,lq_gt_l1,lq_gt_mse,lq_gt_psnr,lq_gt_ssim,lq_gt_gradient_difference,lq_gt_edge_density_difference,h200_gt_l1,h200_gt_mse,h200_gt_psnr,h200_gt_gradient_difference,h50_gt_l1,h50_gt_mse,h50_gt_psnr,h50_gt_gradient_difference,required_change_l1,required_change_gradient,generated_change_200_l1,generated_change_50_l1,generated_change_200_gradient,generated_change_50_gradient,improvement_200_l1,improvement_50_l1,improvement_200_mse,improvement_50_mse,change_alignment_200,change_alignment_50,local_variance,gradient_magnitude,edge_density,laplacian_magnitude,local_contrast,local_entropy,blur_proxy,primary_type,type_e_conservative,type_f_potential_ideal
case3,2944,384,3200,640,256,256,0.79168701171875,1.1674295663833618,47.45849658006997,0.9900992715107776,0.3520548939704895,0.0,2.147552490234375,7.524465084075928,39.36604738771543,1.1590375900268555,1.3304086923599243,2.895075559616089,43.51420469770822,0.48614659905433655,0.79168701171875,0.3520548939704895,1.8765767812728882,0.9101206660270691,1.2074717283248901,0.46626394987106323,-1.355865478515625,-0.5387216806411743,-6.357035517692566,-1.727645993232727,-0.08606507111572537,-0.08128362950740764,51.24713897705078,0.3460201025009155,0.0,0.7062478065490723,0.0532849058508873,1.8603683062591514,2.0410540103912354,Other,False,False
case3,1152,512,1408,768,256,256,0.8562367558479309,1.3350881338119507,46.8757043785748,0.9893415829078092,0.36128973960876465,0.0,2.123041868209839,7.25092077255249,39.5268721056907,1.5862948894500732,1.3500518798828125,2.943934202194214,43.441522734289116,0.523728609085083,0.8562367558479309,0.36128973960876465,1.8762918710708618,0.9081217646598816,1.6671017408370972,0.518625020980835,-1.266805112361908,-0.4938151240348816,-5.9158326387405396,-1.6088460683822632,-0.03872290545300117,-0.04519628951409378,87.30213165283203,0.36594831943511963,0.0,0.7362772226333618,0.07198113948106766,1.939595548991798,2.011965036392212,Other,False,False
case3,1792,768,2048,1024,256,256,0.9279429316520691,1.5777028799057007,46.150551535202936,0.9884232155395889,0.38000062108039856,0.0,2.1943206787109375,8.503280639648438,38.83493848233857,1.0558571815490723,1.382598876953125,3.228851318359375,43.04032313714717,0.48036548495292664,0.9279429316520691,0.38000062108039856,1.8761087656021118,0.9170277714729309,1.108428955078125,0.46004778146743774,-1.2663777470588684,-0.4546559453010559,-6.925577759742737,-1.6511484384536743,-0.05399941186570802,-0.014193748096519564,100.61883544921875,0.45092540979385376,0.0,0.8226215839385986,0.07858546078205109,2.0595969167596944,1.8242923021316528,Other,False,False
case3,3328,256,3584,512,256,256,0.8052724003791809,1.2146453857421875,47.28630856179889,0.9899988871052607,0.3495017886161804,0.0,2.1009674072265625,7.2559051513671875,39.52388763842756,1.5880111455917358,1.26763916015625,2.6551616191864014,43.889894122217896,0.5120458602905273,0.8052724003791809,0.3495017886161804,1.874908447265625,0.8392893671989441,1.6619746685028076,0.4998229146003723,-1.2956950068473816,-0.4623667597770691,-6.041259765625,-1.4405162334442139,-0.042288024376991834,-0.05779058363806382,48.10919952392578,0.31717294454574585,0.0,0.6719359159469604,0.05304062366485596,1.6928044402581186,2.11850905418396,Other,False,False
case3,2944,256,3200,512,256,256,0.8445942997932434,1.2866007089614868,47.036365610791094,0.9891819511494293,0.3646616041660309,0.0,2.100341796875,7.20947265625,39.55176861870606,1.1773358583450317,1.3411458730697632,2.9489033222198486,43.43419814426295,0.48969465494155884,0.8445942997932434,0.3646616041660309,1.8715006113052368,0.9455668330192566,1.2351009845733643,0.47030147910118103,-1.2557474970817566,-0.4965515732765198,-5.922871947288513,-1.6623026132583618,-0.01661123437779069,-0.020922268269151466,59.81291961669922,0.36885547637939453,0.0,0.7599995732307434,0.05825706571340561,2.00829935363671,2.0604207515716553,Other,False,False
case3,3200,1024,3456,1280,256,256,0.8850657343864441,1.4002023935317993,46.66889532835481,0.9893122023849626,0.3620111048221588,0.0,2.181798219680786,7.712987422943115,39.25857746629751,1.4723418951034546,1.3715463876724243,3.058283567428589,43.2760262094645,0.5064126253128052,0.8850657343864441,0.3620111048221588,1.868927001953125,0.887359619140625,1.556517243385315,0.5031104683876038,-1.296732485294342,-0.4864806532859802,-6.312785029411316,-1.6580811738967896,-0.1093493653324904,-0.08531278972091351,27.233386993408203,0.3496014475822449,0.0,0.7171629667282104,0.03895948454737663,1.5047039181936928,2.0513670444488525,Other,False,False
case3,3072,0,3328,256,256,256,0.8904317021369934,1.4404805898666382,46.54572962207155,0.9881237358647154,0.39081668853759766,0.0,2.1301777362823486,7.322519779205322,39.48419797992295,1.3116955757141113,1.3337911367416382,2.9337871074676514,43.45651776897023,0.49256592988967896,0.8904317021369934,0.39081668853759766,1.8649190664291382,0.8807169795036316,1.4076578617095947,0.47927361726760864,-1.2397460341453552,-0.4433594346046448,-5.882039189338684,-1.4933065176010132,-0.029732146686658627,-0.032144303980389866,54.806671142578125,0.3692534267902374,0.0,0.7564697265625,0.05930665135383606,1.981889836054577,2.048640727996826,Other,False,False
case3,3712,1664,3968,1920,256,256,0.8541768193244934,1.3422139883041382,46.85258613085217,0.9896669308582059,0.36554789543151855,0.0,2.069239377975464,9.058100700378418,38.56043231613199,1.333577036857605,1.3416646718978882,3.0866496562957764,43.23593033455979,0.5079803466796875,0.8541768193244934,0.36554789543151855,1.8511708974838257,0.9142252802848816,1.4246242046356201,0.5011636018753052,-1.2150625586509705,-0.4874878525733948,-7.71588671207428,-1.7444356679916382,0.020256130344476653,-0.015458688157376723,36.417144775390625,0.29315415024757385,0.0,0.5912676453590393,0.04801773279905319,1.3084052259424908,2.0169103145599365,Other,False,False
case3,3712,1152,3968,1408,256,256,0.9928639531135559,1.8020172119140625,45.57321426054166,0.9864934700564563,0.4099687337875366,0.0,2.199859619140625,8.34477710723877,38.91665603354965,1.1609432697296143,1.4842071533203125,3.691797971725464,42.458424433466476,0.528255045413971,0.9928639531135559,0.4099687337875366,1.8398895263671875,0.9921162724494934,1.2268190383911133,0.5032966136932373,-1.206995666027069,-0.4913432002067566,-6.542759895324707,-1.8897807598114014,-0.07311900366430044,-0.0029549115124589496,93.56737518310547,0.4975000023841858,0.0,0.8519387245178223,0.07847791165113449,2.0650571353572094,1.7124361991882324,Other,False,False
case3,2176,512,2432,768,256,256,0.9065195918083191,1.7670034170150757,45.65842981292058,0.9879163421720762,0.3839107155799866,0.0006256103515625,2.0580291748046875,12.445073127746582,37.180828968906596,1.0778559446334839,1.30767822265625,3.105194091796875,43.209916097009085,0.48661431670188904,0.9065195918083191,0.3839107155799866,1.837646484375,0.9055430293083191,1.1290552616119385,0.45575493574142456,-1.1515095829963684,-0.4011586308479309,-10.678069710731506,-1.3381906747817993,0.18312062729339304,0.13997967418815643,75.6455078125,0.4191323518753052,0.0,0.7837423086166382,0.066437266767025,2.0525146746667855,1.869911551475525,Other,False,False
