Case,LQ PSNR (dB),Output PSNR (dB),Delta PSNR (dB),PSNR Conclusion,LQ SSIM,Output SSIM,Delta SSIM,SSIM Conclusion,LQ LPIPS-Alex,Output LPIPS-Alex,Delta LPIPS,LPIPS Conclusion,LQ Path,GT Path,Output Path
case1,32.028801,30.884323,-1.144479,Degraded,0.948453,0.906503,-0.041951,Degraded,0.072517,0.293403,0.220887,Degraded,D:\MyProjects\CSIG\baseline\input\case1_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case1_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case1_lq.png
case2,28.189381,26.158736,-2.030645,Degraded,0.831443,0.777299,-0.054144,Degraded,0.373972,0.351527,-0.022445,Improved,D:\MyProjects\CSIG\baseline\input\case2_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case2_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case2_lq.png
case3,35.622082,31.523257,-4.098824,Degraded,0.934958,0.873243,-0.061715,Degraded,0.170643,0.312647,0.142004,Degraded,D:\MyProjects\CSIG\baseline\input\case3_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case3_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case3_lq.png
case4,18.056199,17.389897,-0.666302,Degraded,0.309323,0.285376,-0.023947,Degraded,0.879949,0.672388,-0.207561,Improved,D:\MyProjects\CSIG\baseline\input\case4_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case4_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case4_lq.png
case5,26.275637,25.110399,-1.165237,Degraded,0.864316,0.828020,-0.036296,Degraded,0.285579,0.371992,0.086412,Degraded,D:\MyProjects\CSIG\baseline\input\case5_lq.jpg,D:\MyProjects\CSIG\csig_dataset\验证集\case5_gt.jpg,D:\MyProjects\CSIG\baseline\experiments\coeff_t_150\output\result\case5_lq.png
Average,28.034420,26.213323,-1.821097,Degraded,0.777699,0.734088,-0.043611,Degraded,0.356532,0.400391,0.043859,Degraded,.,.,.
